LRD,Region,Rano Base Code,Administrative Status,Site Type,Cabin Id,DC Battery Name,Is the Battery visible,If not visible,Battery Brand,Battery Brand Others,Battery Model,Battery Model Others,Battery Capacity (Ah),Battery Voltage (Volt),Total Current Load,Total bank (Quantity),Number of Battery Cell/ Quantity,Battery Technology,Battery Hardening (Enhance Safety Request),Last Installation Date (DD/MM/YYYY),Battery Protection,Battery Cable Size,Battery Cable Type,Warranty End Date (DD/MM/YYYY),Battery Protection Capacity,Lithium battery alarm (4+7),Incomplete Parameter,Incomplete LRD
LRD2307,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2308,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,27.7,1,4,VRLA,Battery Concrete Bar,,,,09/29/18 00:00,,,,,
LRD2309,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,68,2,8,VRLA,Battery Concrete Bar,,,,03/24/19 00:00,,,,,
LRD2310,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,81.3,2,8,VRLA,Battery Concrete Bar,,,,02/28/18 00:00,,,,,
LRD2317,SARAWAK,BASE22,Active,Vacant Land,Cabin-01,Battery-01,No,Battery missing,Narada,,12NDT150S,,150,12 volt,6.42,1,4,VRLA,Battery Concrete Bar,,,,11/30/19 00:00,,,,,
LRD2311,CENTRAL,BASE32,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,142.51,2,8,VRLA,Battery Concrete Bar,,,,3/2/2019 0:00,,,,,
LRD2314,SABAH,BASE33,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD2315,EASTERN,BASE27,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,53.15,1,4,VRLA,Battery Hardening,,,,2/10/2017 0:00,,,,,
LRD2320,SOUTHERN,BASE4,Active,Inbuilding,Cabin-01,Battery-01,,,Narada,,GFMJ-600A,,600,2 volt,,1,4,VRLA,,,,,,,,,,
LRD2323,NORTHERN,BASE0,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,,,,,,,,,,,,,,,,,BATTERY_CAPACITY,
LRD2324,SOUTHERN,BASE4,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,27,2,8,VRLA,T5 Metal Plate,,,,07/17/17 00:00,,,,,
LRD2325,SABAH,BASE33,Active,Vacant Land,Outdoor-01,Battery-01,No,battery been vandalize,Narada,,,,150,,,1,4,,,,,,,,,,,
LRD2327,SABAH,BASE36,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,,,,,,,,,,,,,,,,,
LRD2329,EASTERN,BASE10,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,AG12V155F,,155,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2330,SABAH,BASE36,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD2331,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,1.2,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD2332,EASTERN,BASE24,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,57,1,4,VRLA,T5 Metal Plate,,,,05/17/18 00:00,,,,,
LRD2333,EASTERN,BASE27,Active,Rooftop,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,48.1,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD2335,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,98.77,2,8,VRLA,Battery Concrete Bar,,,,03/30/18 00:00,,,,,
LRD2337,CENTRAL,BASE9,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,47,2,8,VRLA,Battery Concrete Bar,,,,09/23/19 00:00,,,,,
LRD2338,CENTRAL,BASE9,Active,Inbuilding,Room Reno-01,Battery-01,,,Enersys,,,,150,12 volt,31.4,2,8,VRLA,,,,,11/12/2020 0:00,,,,,
LRD2340,SABAH,BASE23,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,46.6,1,4,VRLA,Battery Concrete Bar,,,,04/30/20 00:00,,,,,
LRD2344,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,120,3,12,VRLA,Battery Concrete Bar,,,,1/2/2019 0:00,,,,,
LRD2345,SABAH,BASE36,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,,,,,,,,,,,,,,,,BATTERY_CAPACITY,
LRD67,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,No,Battery fully sealed,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD130,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD151,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD1787,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,48NPFC150,150,12 volt,,1,4,VRLA,Battery Concrete Bar,,,,9/2/2021 0:00,,,,,
LRD1788,CENTRAL,BASE1,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,48NPFC150,150,12 volt,88.41,2,8,VRLA,Battery Concrete Bar,,,,8/10/2016 0:00,,,,,
LRD1790,CENTRAL,BASE6,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Enersys,,12TD150F,48NPFC150,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD1791,CENTRAL,BASE1,Active,Rooftop,Outdoor-01,Battery-01,,,Narada,,Others,48NPFC150,150,12 volt,68,1,4,VRLA,Others,,,,,,,,,
LRD1798,NORTHERN,BASE16,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,,48NPFC150,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD1799,EASTERN,BASE10,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,48NPFC150,150,12 volt,42,1,4,VRLA,Others,,,,,,,,,
LRD1802,SOUTHERN,BASE18,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,Others,48NPFC150,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1805,SOUTHERN,BASE4,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,48NPFC150,100,12 volt,60,1,4,VRLA,Battery Concrete Bar,,,,07/20/17 00:00,,,,,
LRD1807,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,48NPFC150,150,12 volt,41.4,2,8,VRLA,Battery Concrete Bar,,,,8/7/2017 0:00,,,,,
LRD1812,SOUTHERN,BASE20,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Enersys,,12TD150F,48NPFC150,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD1815,CENTRAL,BASE9,Active,Rooftop,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,,48NPFC150,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1817,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,48NPFC150,150,12 volt,,3,12,VRLA,,,,,,,,,,
LRD1819,SABAH,BASE23,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,48NPFC150,,,,,,,,,,,,,,,BATTERY_CAPACITY,
LRD1820,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,30.9,2,8,VRLA,T5 Metal Plate,,,,03/31/19 00:00,,,,,
LRD1821,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,No,T5 PLATE FULLY WELDED,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1822,SABAH,BASE25,Active,Rooftop,Room Reno-01,Battery-01,Yes,,Exicom,,Energy QB 48V/100Ah,,100,48 volt,60,3,12,Lithium,,,,,07/15/20 00:00,,,,,
LRD1823,SOUTHERN,BASE19,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,120,2,8,VRLA,Battery Concrete Bar,,,,07/28/17 00:00,,,,,
LRD1829,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,,,,,,,,,,
LRD1830,NORTHERN,BASE16,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,ACME G AG12V155F,,155,12 volt,47.8,2,8,VRLA,Battery Concrete Bar,,,,,,,,,
LRD1840,CENTRAL,BASE26,Active,Inbuilding,Room Reno-01,Battery-01,No,No battery installed at rectifier as ASTRO not allow.,Narada,,,,0,,,0,0,,,,,,,,,,,
LRD1841,CENTRAL,BASE6,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,46.7,1,24,VRLA,Others,,,,,,,,,
LRD1842,CENTRAL,BASE12,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Huawei,,ESM-48150B1,,150,48 volt,73,2,2,Lithium,,,,,6/5/2020 0:00,,,,,
LRD1845,CENTRAL,BASE1,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TE100F,,100,12 volt,22,2,8,VRLA,T5 Metal Plate,,,,07/19/18 00:00,,,,,
LRD1846,NORTHERN,BASE15,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,104.9,2,8,VRLA,Battery Hardening,,50mm,Copper,05/15/18 00:00,,Breaker,,,
LRD1849,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery missing - stolen,Enersys,,12TD150F,,150,12 volt,74,2,8,VRLA,T5 Metal Plate,,,,10/1/2019 0:00,,,,,
LRD1854,NORTHERN,BASE13,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,70,1,24,VRLA,Battery Concrete Bar,,,,,,,,,
LRD1860,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1861,SABAH,BASE17,Active,Inbuilding,Cabin-01,Battery-01,,,Narada,,ACME F 2V400AH Eosg400,,400,2 volt,,2,8,VRLA,,,,,,,,,,
LRD1871,SABAH,BASE23,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Sonnenschein,,OPzV 1000,,1000,2 volt,,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD1872,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,49,1,4,VRLA,Others,,,,,,,,,
LRD1887,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,128.2,3,12,VRLA,Battery Concrete Bar,,,,11/24/18 00:00,,,,,
LRD1878,SABAH,BASE29,Active,Vacant Land,Cabin-01,Battery-01,,,Hoppecke,,NET.POWER 12V150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1879,SABAH,BASE17,Active,Rooftop,Cabin-01,Battery-01,,,Narada,,GFMJ-600A,,600,2 volt,,2,8,VRLA,,,,,,,,,,
LRD1886,SOUTHERN,BASE20,Active,Rooftop,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,50,3,12,VRLA,Battery Hardening,,,,05/19/21 00:00,,,,,
LRD1888,SARAWAK,BASE31,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,141,2,8,VRLA,Others,,,,,,,,,
LRD1889,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,AG12V150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1893,SARAWAK,BASE8,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,ACME F 2V400AH Eosg400,,400,2 volt,34.06,1,24,VRLA,,,,,,,,,,
LRD1896,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,42.5,1,4,VRLA,Battery Concrete Bar,,,,06/28/18 00:00,,,,,
LRD1899,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,92.3,2,8,VRLA,T5 Metal Plate,,,,9/3/2019 0:00,,,,,
LRD1901,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD1902,NORTHERN,BASE2,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,29.2,2,8,VRLA,T5 Metal Plate,,,,07/24/17 00:00,,,,,
LRD1910,SOUTHERN,BASE4,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Narada,,MPG12150F,,150,12 volt,46,1,4,VRLA,,,,,,,,,,
LRD1913,SARAWAK,BASE11,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,,,150,,,1,4,,,,,,,,,,BATTERY_TECHNOLOGY,
LRD1914,CENTRAL,BASE32,Active,Inbuilding,Room Reno-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,29.3,1,4,VRLA,Battery Concrete Bar,,,,06/18/19 00:00,,,,,
LRD1916,CENTRAL,BASE32,Active,Rooftop,Cabin-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,67.62,2,8,VRLA,Battery Concrete Bar,,,,12/18/17 00:00,,,,,
LRD1925,EASTERN,BASE27,Active,Vacant Land,Outdoor-01,Battery-01,,,MSB,,,,150,12 volt,69.3,1,4,VRLA,,,,,,,,,,
LRD1926,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Haze,,2V1000AH,,1000,2 volt,38.3,2,24,VRLA,Others,,,,4/4/2005 0:00,,,,,
LRD1932,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,90,2,8,VRLA,Battery Concrete Bar,,,,08/20/16 00:00,,,,,
LRD1938,SABAH,BASE23,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,AG12V150S,,150,12 volt,33.8,2,8,VRLA,Others,,,,,,,,,
LRD1939,SABAH,BASE33,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,Others,EosG600 2V600Ah ( C ),600,2 volt,,1,4,VRLA,,,,,,,,,,
LRD1941,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD1942,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,54,1,4,VRLA,Battery Concrete Bar,,,,08/26/19 00:00,,,,,
LRD1944,SABAH,BASE25,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,50.3,2,8,VRLA,Battery Iron Bar,,,,07/28/20 00:00,,,,,
LRD1945,SARAWAK,BASE8,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,Others,EosG600 2V600Ah ( C ),600,2 volt,30,1,24,VRLA,Battery Hardening,,,,,,,,,
LRD1946,SABAH,BASE17,Active,Inbuilding,Cabin-01,Battery-01,,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,2,8,VRLA,,,,,,,,,,
LRD1948,SABAH,BASE33,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1949,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD1951,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Hoppecke,,NET.POWER 12V150,,150,12 volt,3.1,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD1953,SARAWAK,BASE8,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1961,NORTHERN,BASE16,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,12.8,3,12,VRLA,Battery Concrete Bar,,,,1/12/2019 0:00,,,,,
LRD1963,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Huawei,,ESM-48100A1,,100,48 volt,82.17,1,1,Lithium,Battery Hardening,,,,6/1/2019 0:00,,,,,
LRD1965,SABAH,BASE29,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,AG12V150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1967,SARAWAK,BASE8,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,109,2,8,VRLA,Battery Concrete Bar,,,,2/4/2018 0:00,,,,,
LRD1968,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,,,Huawei,,ESM-48150B1,,150,48 volt,43,1,1,Lithium,No Hardening,,,,07/17/20 00:00,,,,,
LRD1972,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1973,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD1976,SOUTHERN,BASE4,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT155S,,155,12 volt,75,1,4,VRLA,Battery Concrete Bar,,,,09/27/16 00:00,,,,,
LRD1977,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,54,3,12,VRLA,Battery Concrete Bar,,,,2/11/2020 0:00,,,,,
LRD1982,EASTERN,BASE30,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1983,SABAH,BASE23,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,30.5,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD1984,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,54.6,2,8,VRLA,Battery Concrete Bar,,,,11/14/17 00:00,,,,,
LRD1985,NORTHERN,BASE7,Active,Rooftop,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,80,2,8,VRLA,Battery Concrete Bar,,,,06/18/16 00:00,,,,,
LRD1988,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,64,1,4,VRLA,Battery Concrete Bar,,,,07/17/17 00:00,,,,,
LRD1992,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,,,MSB,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD1995,SOUTHERN,BASE4,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,59,1,4,VRLA,T5 Metal Plate,,,,05/29/19 00:00,,,,,
LRD1999,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,104,1,4,VRLA,Battery Concrete Bar,250,25mm,,05/29/19 00:00,,Breaker,Yes,,
LRD2002,SOUTHERN,BASE4,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,Others,,150,12 volt,53,1,4,VRLA,Others,,,,,,,,,
LRD2007,CENTRAL,BASE9,Active,Inbuilding,Room Reno-01,Battery-01,No,Battery missing,Narada,,,,0,,,0,0,,,,,,,,,,BATTERY_TECHNOLOGY,
LRD2010,NORTHERN,BASE35,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,58,3,12,VRLA,Battery Concrete Bar,,,,01/14/20 00:00,,,,,
LRD2020,SABAH,BASE36,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD2024,CENTRAL,BASE3,Active,Existing structure,Room Reno-01,Battery-01,Yes,,MSB,,MSG12-60,,60,12 volt,14,1,4,VRLA,,,,,12/8/2016 0:00,,,,,
LRD2028,CENTRAL,BASE6,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,50.7,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD2029,EASTERN,BASE27,Active,Rooftop,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD2038,NORTHERN,BASE16,Active,Rooftop,Cabin-01,Battery-01,Yes,,Huawei,,ESM-48150A1,,150,48 volt,61.41,2,2,Lithium,Battery Concrete Bar,,,,12/1/2019 0:00,,,,,
LRD2033,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD2034,EASTERN,BASE27,Active,Rooftop,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,71.4,1,4,VRLA,Others,,,,,,,,,
LRD2037,EASTERN,BASE27,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD2045,NORTHERN,BASE16,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,42,2,8,VRLA,Battery Concrete Bar,,,,11/14/18 00:00,,,,,
LRD2050,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,,,150,12 volt,71,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD2058,NORTHERN,BASE13,Active,Rooftop,Cabin-01,Battery-01,Yes,,Fiamm,,SMG10 OPzV1000,,1000,2 volt,53,1,24,VRLA,Others,,,,,,,,,
LRD2059,EASTERN,BASE27,Active,Vacant Land,Outdoor-01,Battery-01,No,Caging battery welding,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
